pattern;avg_power
1;-61.98
2;-59.694
3;-63.632000000000005
4;-63.20399999999999
5;-64.076
6;-62.093999999999994
7;-61.686
8;-62.624
9;-62.79
10;-60.822
11;-62.15599999999999
12;-64.65599999999999
13;-61.544000000000004
14;-60.33
15;-66.372
16;-67.69800000000001
17;-66.28
18;-63.822
19;-64.486
20;-65.612
21;-63.564
22;-67.244
23;-63.284000000000006
24;-61.596000000000004
25;-63.028
26;-69.534
27;-64.186
