pattern;avg_power
1;-75.256
2;-74.062
3;-75.116
4;-74.872
5;-74.86600000000001
6;-68.912
7;-78.438
8;-73.748
9;-81.244
10;-78.40799999999999
11;-78.952
12;-78.102
13;-78.86600000000001
14;-79.45599999999999
15;-75.398
16;-77.908
17;-69.20599999999999
18;-71.97
19;-78.168
20;-75.244
21;-79.10799999999999
22;-77.718
23;-76.186
24;-78.542
25;-75.5
26;-76.53999999999999
27;-74.21000000000001
