id,timestamp,frequency_hz,rssi_dbm,source_file
6,2025-04-22 12:15:42.920523,5500000000.0,-63.84,4
7,2025-04-22 12:15:47.272345,5500000000.0,-69.82,4
8,2025-04-22 12:15:52.059833,5500000000.0,-67.66,4
9,2025-04-22 12:15:56.357137,5500000000.0,-61.58,4
10,2025-04-22 12:16:01.112434,5500000000.0,-68.38,4
11,2025-04-22 12:16:05.485264,5500000000.0,-64.16,4
12,2025-04-22 12:16:09.822529,5500000000.0,-64.28,4
13,2025-04-22 12:16:14.173070,5500000000.0,-65.37,4
14,2025-04-22 12:16:18.526027,5500000000.0,-65.38,4
15,2025-04-22 12:16:22.962541,5500000000.0,-57.26,4
16,2025-04-22 12:16:27.343295,5500000000.0,-64.57,4
17,2025-04-22 12:16:31.726035,5500000000.0,-60.77,4
18,2025-04-22 12:16:36.048834,5500000000.0,-59.96,4
19,2025-04-22 12:16:40.415607,5500000000.0,-69.1,4
20,2025-04-22 12:16:44.769973,5500000000.0,-66.97,4
21,2025-04-22 12:16:49.148466,5500000000.0,-64.84,4
22,2025-04-22 12:16:53.673334,5500000000.0,-72.99,4
23,2025-04-22 12:16:58.061750,5500000000.0,-66.6,4
24,2025-04-22 12:17:02.395163,5500000000.0,-62.52,4
25,2025-04-22 12:17:06.776785,5500000000.0,-57.85,4
26,2025-04-22 12:17:11.081776,5500000000.0,-78.78,4
27,2025-04-22 12:17:15.479503,5500000000.0,-58.38,4
1,2025-04-22 12:18:20.557072,5500000000.0,-66.74,5
2,2025-04-22 12:18:25.139099,5500000000.0,-63.87,5
3,2025-04-22 12:18:29.421218,5500000000.0,-67.58,5
4,2025-04-22 12:18:33.760193,5500000000.0,-67.47,5
5,2025-04-22 12:18:38.193951,5500000000.0,-62.47,5
6,2025-04-22 12:18:42.571244,5500000000.0,-69.15,5
7,2025-04-22 12:18:47.001627,5500000000.0,-76.53,5
8,2025-04-22 12:18:51.320059,5500000000.0,-72.52,5
9,2025-04-22 12:18:55.697548,5500000000.0,-65.64,5
10,2025-04-22 12:18:59.998280,5500000000.0,-87.16,5
11,2025-04-22 12:19:04.309974,5500000000.0,-68.4,5
12,2025-04-22 12:19:08.740384,5500000000.0,-67.76,5
13,2025-04-22 12:19:13.063500,5500000000.0,-67.23,5
14,2025-04-22 12:19:17.447418,5500000000.0,-67.22,5
15,2025-04-22 12:19:21.824431,5500000000.0,-60.05,5
16,2025-04-22 12:19:26.167833,5500000000.0,-62.14,5
17,2025-04-22 12:19:30.538484,5500000000.0,-55.41,5
18,2025-04-22 12:19:34.766990,5500000000.0,-55.33,5
19,2025-04-22 12:19:39.223540,5500000000.0,-82.47,5
20,2025-04-22 12:19:43.526396,5500000000.0,-73.67,5
21,2025-04-22 12:19:47.859517,5500000000.0,-71.73,5
22,2025-04-22 12:19:52.224808,5500000000.0,-66.47,5
23,2025-04-22 12:19:56.580977,5500000000.0,-73.41,5
24,2025-04-22 12:20:00.898408,5500000000.0,-60.07,5
25,2025-04-22 12:20:05.251908,5500000000.0,-56.37,5
26,2025-04-22 12:20:09.555089,5500000000.0,-61.02,5
27,2025-04-22 12:20:13.927557,5500000000.0,-56.64,5
1,2025-04-22 12:21:05.554319,5500000000.0,-80.66,6
2,2025-04-22 12:21:09.904490,5500000000.0,-66.91,6
3,2025-04-22 12:21:14.206450,5500000000.0,-84.9,6
4,2025-04-22 12:21:18.506162,5500000000.0,-83.51,6
5,2025-04-22 12:21:22.952675,5500000000.0,-61.62,6
6,2025-04-22 12:21:27.215935,5500000000.0,-65.4,6
7,2025-04-22 12:21:31.514004,5500000000.0,-72.68,6
8,2025-04-22 12:21:35.846114,5500000000.0,-73.3,6
9,2025-04-22 12:21:40.169779,5500000000.0,-77.4,6
10,2025-04-22 12:21:44.539859,5500000000.0,-75.04,6
11,2025-04-22 12:21:48.871726,5500000000.0,-72.98,6
12,2025-04-22 12:21:53.179606,5500000000.0,-72.17,6
13,2025-04-22 12:21:57.492409,5500000000.0,-71.63,6
14,2025-04-22 12:22:01.805936,5500000000.0,-71.37,6
15,2025-04-22 12:22:06.126096,5500000000.0,-65.92,6
16,2025-04-22 12:22:10.453171,5500000000.0,-69.82,6
17,2025-04-22 12:22:14.771652,5500000000.0,-50.37,6
18,2025-04-22 12:22:19.061614,5500000000.0,-50.18,6
19,2025-04-22 12:22:23.399602,5500000000.0,-74.53,6
20,2025-04-22 12:22:27.762297,5500000000.0,-73.1,6
21,2025-04-22 12:22:32.138543,5500000000.0,-71.07,6
22,2025-04-22 12:22:36.448645,5500000000.0,-62.02,6
23,2025-04-22 12:22:40.736335,5500000000.0,-71.37,6
24,2025-04-22 12:22:45.076921,5500000000.0,-55.61,6
25,2025-04-22 12:22:49.387822,5500000000.0,-52.66,6
26,2025-04-22 12:22:53.800716,5500000000.0,-55.32,6
