Azimuth Angle (deg),Elevation Angle (deg),Received Power (Pr) [dBm]
32.4,-9,-65.08817036166786
34.2,-9,-65.35707034695231
36.0,-9,-65.64477562817108
37.800000000000004,-9,-65.95213598341314
39.6,-9,-66.28010174621286
41.4,-9,-66.62973772975214
43.2,-9,-67.00223982530426
45.0,-9,-67.39895490071072
46.800000000000004,-9,-67.82140480402506
48.6,-9,-68.27131551788304
50.4,-9,-68.75065283614009
52.2,-9,-69.26166638172526
54.0,-9,-69.80694440689997
55.800000000000004,-9,-70.38948269501675
57.6,-9,-71.01277214108174
59.4,-9,-71.68091142294892
61.2,-9,-72.39875390094343
63.0,-9,-73.17210202016084
64.8,-9,-74.00796891480417
66.60000000000001,-9,-74.91493715884434
68.4,-9,-75.90366143339688
70.2,-9,-76.98759046309443
72.0,-9,-78.1840340431698
73.8,-9,-79.51579420729063
75.60000000000001,-9,-81.0137612071459
77.4,-9,-82.72125210451048
79.2,-9,-84.7017165223848
81.0,-9,-87.05353172504134
82.8,-9,-89.94151763085158
84.60000000000001,-9,-93.67466527391615
86.4,-9,-98.94668267286315
88.2,-9,-107.97115201280349
90.0,-9,-549.2740792840239
91.8,-9,-inf
93.60000000000001,-9,-inf
95.4,-9,-inf
97.2,-9,-inf
99.0,-9,-inf
100.8,-9,-inf
102.60000000000001,-9,-inf
104.4,-9,-inf
106.2,-9,-inf
108.0,-9,-inf
109.8,-9,-inf
111.60000000000001,-9,-inf
113.4,-9,-inf
115.2,-9,-inf
117.0,-9,-inf
118.8,-9,-inf
120.60000000000001,-9,-inf
122.4,-9,-inf
124.2,-9,-inf
126.0,-9,-inf
127.8,-9,-inf
129.6,-9,-inf
131.4,-9,-inf
133.20000000000002,-9,-inf
135.0,-9,-inf
136.8,-9,-inf
138.6,-9,-inf
140.4,-9,-inf
142.20000000000002,-9,-inf
144.0,-9,-inf
145.8,-9,-inf
147.6,-9,-inf
149.4,-9,-inf
151.20000000000002,-9,-inf
153.0,-9,-inf
154.8,-9,-inf
156.6,-9,-inf
158.4,-9,-inf
160.20000000000002,-9,-inf
162.0,-9,-inf
163.8,-9,-inf
165.6,-9,-inf
167.4,-9,-inf
169.20000000000002,-9,-inf
171.0,-9,-inf
172.8,-9,-inf
174.6,-9,-inf
176.4,-9,-inf
178.20000000000002,-9,-inf
180.0,-9,-inf
0.0,0,-62.883504965750994
1.8,0,-62.88993549573014
3.6,0,-62.90923979365887
5.4,0,-62.94145608413908
7.2,0,-62.98664841196476
9.0,0,-63.0449071537989
10.8,0,-63.11634974668251
12.6,0,-63.20112164596412
14.4,0,-63.29939752946797
16.2,0,-63.41138276946153
18.0,0,-63.53731519940062
19.8,0,-63.67746720871609
21.6,0,-63.83214820629861
23.400000000000002,0,-64.00170750213034
25.2,0,-64.18653766707914
27.0,0,-64.38707844368066
28.8,0,-64.60382129639486
30.6,0,-64.83731470911637
32.4,0,-65.08817036166786
34.2,0,-65.35707034695231
36.0,0,-65.64477562817108
37.800000000000004,0,-65.95213598341314
39.6,0,-66.28010174621286
41.4,0,-66.62973772975214
43.2,0,-67.00223982530426
45.0,0,-67.39895490071072
46.800000000000004,0,-67.82140480402506
48.6,0,-68.27131551788304
50.4,0,-68.75065283614009
52.2,0,-69.26166638172526
54.0,0,-69.80694440689997
55.800000000000004,0,-70.38948269501675
57.6,0,-71.01277214108174
59.4,0,-71.68091142294892
61.2,0,-72.39875390094343
63.0,0,-73.17210202016084
64.8,0,-74.00796891480417
66.60000000000001,0,-74.91493715884434
68.4,0,-75.90366143339688
70.2,0,-76.98759046309443
72.0,0,-78.1840340431698
73.8,0,-79.51579420729063
75.60000000000001,0,-81.0137612071459
77.4,0,-82.72125210451048
79.2,0,-84.7017165223848
81.0,0,-87.05353172504134
82.8,0,-89.94151763085158
84.60000000000001,0,-93.67466527391615
86.4,0,-98.94668267286315
88.2,0,-107.97115201280349
90.0,0,-549.2740792840239
91.8,0,-inf
93.60000000000001,0,-inf
95.4,0,-inf
97.2,0,-inf
99.0,0,-inf
100.8,0,-inf
102.60000000000001,0,-inf
104.4,0,-inf
106.2,0,-inf
108.0,0,-inf
109.8,0,-inf
111.60000000000001,0,-inf
113.4,0,-inf
115.2,0,-inf
117.0,0,-inf
118.8,0,-inf
120.60000000000001,0,-inf
122.4,0,-inf
124.2,0,-inf
126.0,0,-inf
127.8,0,-inf
129.6,0,-inf
131.4,0,-inf
133.20000000000002,0,-inf
135.0,0,-inf
136.8,0,-inf
138.6,0,-inf
140.4,0,-inf
142.20000000000002,0,-inf
144.0,0,-inf
145.8,0,-inf
147.6,0,-inf
149.4,0,-inf
151.20000000000002,0,-inf
153.0,0,-inf
154.8,0,-inf
156.6,0,-inf
158.4,0,-inf
160.20000000000002,0,-inf
162.0,0,-inf
163.8,0,-inf
165.6,0,-inf
167.4,0,-inf
169.20000000000002,0,-inf
171.0,0,-inf
172.8,0,-inf
174.6,0,-inf
176.4,0,-inf
178.20000000000002,0,-inf
180.0,0,-inf
0.0,9,-62.883504965750994
1.8,9,-62.88993549573014
3.6,9,-62.90923979365887
5.4,9,-62.94145608413908
7.2,9,-62.98664841196476
9.0,9,-63.0449071537989
10.8,9,-63.11634974668251
12.6,9,-63.20112164596412
