pattern;count;mean;median;std;min;max
1;5;-54.258;-54.620;1.737;-56.400;-52.370
2;5;-53.046;-53.010;1.232;-54.880;-51.480
3;5;-55.882;-55.470;0.849;-56.960;-55.080
4;5;-56.328;-54.860;4.047;-63.480;-53.530
5;5;-64.042;-64.270;2.561;-68.010;-61.770
6;5;-57.662;-58.190;3.968;-63.070;-53.390
7;5;-64.678;-64.900;1.613;-66.250;-62.000
8;5;-59.474;-58.270;3.081;-63.150;-56.390
9;5;-54.656;-55.130;2.411;-57.700;-52.060
10;5;-55.416;-55.230;1.337;-57.200;-54.050
11;5;-58.542;-57.930;1.642;-60.770;-56.870
12;5;-56.650;-57.470;3.362;-60.970;-51.980
13;5;-53.760;-54.480;1.840;-55.810;-51.790
14;5;-54.694;-54.950;0.652;-55.310;-53.820
15;5;-64.664;-64.380;4.321;-70.780;-59.120
16;5;-63.076;-61.590;3.726;-67.930;-58.670
17;5;-62.538;-61.770;2.179;-65.910;-60.430
18;5;-57.990;-57.810;3.113;-62.350;-53.620
19;5;-65.470;-65.560;0.780;-66.370;-64.380
20;5;-61.004;-61.280;4.881;-67.900;-55.230
21;5;-58.666;-58.420;2.283;-60.940;-55.550
22;5;-59.710;-60.470;5.531;-66.250;-53.830
23;5;-56.764;-56.380;4.325;-61.630;-52.040
24;5;-56.402;-56.320;3.055;-59.550;-52.400
25;5;-56.214;-57.240;2.208;-58.550;-53.630
26;5;-59.054;-60.140;3.428;-61.210;-52.990
27;5;-56.808;-59.270;3.565;-59.590;-52.890
