pattern;count;mean;median;std;min;max
1;5;-63.580;-63.760;2.086;-66.260;-60.440
2;5;-69.400;-69.670;3.335;-74.250;-64.970
3;5;-64.738;-64.910;0.672;-65.440;-63.680
4;5;-65.970;-64.790;2.899;-71.010;-63.800
5;5;-66.418;-65.540;2.459;-70.570;-64.220
6;5;-68.764;-68.530;1.653;-71.260;-66.930
7;5;-66.814;-65.870;3.786;-72.750;-63.560
8;5;-67.526;-66.310;2.529;-71.140;-65.270
9;5;-67.200;-67.820;1.802;-69.000;-65.130
10;5;-68.422;-68.720;0.834;-69.020;-66.970
11;5;-65.656;-65.220;1.365;-67.850;-64.210
12;5;-64.722;-63.710;2.410;-68.070;-62.460
13;5;-67.086;-67.040;0.707;-68.170;-66.250
14;5;-69.220;-70.220;2.256;-71.640;-66.810
15;5;-67.078;-66.900;3.231;-72.240;-63.900
16;5;-65.484;-65.390;1.044;-67.080;-64.450
17;5;-59.030;-58.180;1.852;-62.090;-57.690
18;5;-60.016;-59.240;1.337;-61.800;-58.730
19;5;-64.676;-64.770;1.165;-66.490;-63.510
20;5;-66.250;-66.400;1.507;-67.920;-63.800
21;5;-68.110;-68.810;1.818;-69.970;-65.830
22;5;-67.586;-68.080;1.584;-69.440;-65.400
23;5;-68.294;-68.040;2.431;-70.900;-65.080
24;5;-64.850;-64.020;1.713;-67.330;-63.230
25;5;-67.488;-68.710;2.751;-69.880;-63.750
26;5;-61.946;-61.840;0.846;-63.090;-60.820
27;5;-63.514;-63.480;0.874;-64.450;-62.200
