pattern;count;mean;median;std;min;max
1;5;-76.310;-75.560;1.519;-78.350;-74.690
2;5;-76.994;-76.750;1.007;-78.000;-75.590
3;5;-75.692;-76.620;3.229;-79.100;-71.110
4;5;-74.554;-73.640;1.641;-76.710;-73.140
5;5;-75.814;-76.160;1.362;-76.730;-73.440
6;5;-75.494;-74.950;2.296;-77.980;-72.690
7;5;-75.968;-76.000;2.533;-79.470;-72.730
8;5;-73.110;-73.310;1.504;-75.400;-71.600
9;5;-76.798;-77.050;0.619;-77.220;-75.720
10;5;-76.696;-76.840;1.902;-78.970;-73.840
11;5;-75.656;-75.580;1.945;-78.200;-72.790
12;5;-77.834;-78.210;2.872;-81.090;-74.010
13;5;-77.192;-77.030;1.808;-79.200;-74.520
14;5;-76.656;-76.900;1.542;-78.270;-74.150
15;5;-76.024;-76.820;1.540;-77.650;-74.110
16;5;-75.372;-75.510;1.650;-77.070;-72.730
17;5;-75.824;-76.500;2.423;-77.800;-71.600
18;5;-75.564;-75.390;1.586;-77.340;-73.410
19;5;-76.462;-75.570;3.403;-80.430;-73.260
20;5;-75.940;-76.150;1.069;-77.200;-74.250
21;5;-76.888;-77.990;1.863;-78.340;-74.250
22;5;-77.060;-76.770;1.640;-79.380;-74.930
23;5;-76.538;-76.010;2.294;-80.390;-74.370
24;5;-78.678;-79.070;1.489;-79.940;-76.100
25;5;-76.118;-75.880;1.374;-78.160;-74.780
26;5;-75.480;-75.640;1.543;-76.820;-73.040
27;5;-75.688;-76.160;1.714;-77.060;-72.710
