pattern;count;mean;median;std;min;max
1;7;-77.983;-77.320;1.243;-80.430;-76.880
2;7;-77.080;-74.240;5.080;-84.910;-72.610
3;7;-78.391;-78.110;1.296;-80.860;-77.120
4;7;-79.013;-79.000;1.192;-80.690;-77.090
5;7;-73.071;-74.390;2.368;-75.290;-70.220
6;7;-70.000;-69.260;1.168;-71.780;-69.090
7;7;-81.100;-80.850;4.018;-86.320;-73.920
8;7;-78.996;-78.320;2.641;-83.520;-75.940
9;7;-77.363;-77.300;2.850;-81.350;-72.800
10;7;-76.914;-76.240;2.359;-80.210;-73.840
11;7;-76.951;-77.200;2.378;-80.390;-73.510
12;7;-76.311;-76.840;2.196;-79.780;-73.030
13;7;-76.407;-76.320;1.587;-77.900;-73.750
14;7;-76.224;-77.180;2.746;-79.250;-71.910
15;7;-76.700;-75.490;3.183;-83.480;-74.020
16;7;-80.200;-79.300;3.117;-84.570;-76.510
17;7;-74.454;-73.330;3.336;-79.780;-71.000
18;7;-79.630;-78.910;4.810;-86.440;-74.190
19;7;-78.424;-77.990;2.600;-83.440;-75.390
20;7;-78.994;-77.900;2.910;-84.000;-76.300
21;7;-77.703;-76.940;2.159;-81.780;-75.530
22;7;-76.593;-76.690;1.552;-79.140;-74.750
23;7;-79.010;-78.510;2.273;-82.510;-76.260
24;7;-78.677;-78.840;1.246;-80.090;-76.280
25;7;-77.520;-76.610;2.828;-82.310;-73.920
26;7;-77.693;-77.060;4.760;-84.400;-73.140
27;7;-78.370;-78.930;2.583;-80.940;-73.410
