pattern;count;mean;median;std;min;max
1;7;-73.830;-72.650;2.454;-77.520;-71.270
2;7;-76.614;-77.480;2.647;-79.760;-72.570
3;7;-74.114;-72.850;2.540;-77.800;-71.420
4;7;-73.791;-73.900;2.780;-77.380;-70.950
5;7;-73.481;-73.640;1.319;-75.600;-71.740
6;7;-75.066;-75.450;1.830;-77.060;-71.870
7;7;-75.646;-75.920;1.861;-78.670;-72.670
8;7;-76.911;-76.950;0.977;-78.200;-75.210
9;7;-75.433;-76.060;1.645;-77.180;-73.250
10;7;-77.364;-76.480;1.745;-80.020;-75.990
11;7;-74.433;-74.360;1.140;-76.520;-73.280
12;7;-75.707;-75.970;1.633;-77.890;-73.530
13;7;-76.033;-75.880;1.512;-78.420;-74.250
14;7;-77.356;-77.860;1.869;-79.670;-74.140
15;7;-74.756;-74.410;1.313;-76.350;-73.110
16;7;-76.853;-76.090;2.786;-80.210;-73.550
17;7;-68.209;-68.550;1.234;-69.580;-66.650
18;7;-68.894;-68.390;1.485;-70.960;-66.780
19;7;-76.477;-76.500;1.849;-79.530;-73.620
20;7;-76.447;-75.630;1.865;-79.310;-74.820
21;7;-76.680;-75.740;1.647;-79.510;-75.070
22;7;-79.041;-79.700;1.747;-80.890;-76.150
23;7;-75.930;-75.560;1.288;-77.940;-74.020
24;7;-75.473;-75.430;1.865;-79.030;-73.150
25;7;-74.189;-74.190;0.925;-75.370;-72.860
26;7;-72.630;-72.400;1.164;-74.290;-71.090
27;7;-75.423;-74.810;1.248;-77.290;-74.400
