pattern;count;mean;median;std;min;max
1;4;-68.345;-68.470;3.376;-71.610;-64.830
2;4;-68.115;-68.570;1.944;-69.800;-65.520
3;4;-68.895;-68.300;3.432;-73.250;-65.730
4;4;-69.120;-68.915;3.596;-73.420;-65.230
5;4;-68.638;-68.430;2.571;-71.820;-65.870
6;4;-70.015;-71.015;2.184;-71.280;-66.750
7;4;-69.590;-70.590;2.319;-71.020;-66.160
8;4;-68.347;-68.420;2.402;-71.130;-65.420
9;4;-66.740;-66.395;1.846;-69.120;-65.050
10;4;-66.845;-66.575;0.893;-68.140;-66.090
11;4;-66.895;-66.950;1.345;-68.190;-65.490
12;4;-68.852;-68.880;3.017;-72.330;-65.320
13;4;-67.312;-67.360;2.124;-69.180;-65.350
14;4;-69.562;-69.255;4.149;-74.330;-65.410
15;4;-69.017;-68.970;1.503;-70.680;-67.450
16;4;-67.010;-66.380;3.257;-71.510;-63.770
17;4;-62.312;-62.800;2.104;-64.010;-59.640
18;4;-63.023;-62.950;2.741;-66.240;-59.950
19;4;-70.237;-70.485;1.666;-71.780;-68.200
20;4;-72.838;-73.025;2.993;-75.890;-69.410
21;4;-70.935;-70.840;1.954;-73.130;-68.930
22;4;-68.097;-68.105;1.102;-69.430;-66.750
23;4;-67.978;-67.930;1.563;-69.680;-66.370
24;4;-65.683;-65.650;0.987;-66.800;-64.630
25;4;-63.825;-64.260;1.307;-64.850;-61.930
26;4;-65.320;-65.220;2.093;-67.930;-62.910
27;4;-64.045;-63.940;1.143;-65.530;-62.770
