pattern;count;mean;median;std;min;max
1;5;-61.980;-62.630;1.591;-63.580;-59.500
2;5;-59.694;-60.690;2.198;-61.790;-57.300
3;5;-63.632;-64.330;1.387;-64.980;-61.590
4;5;-63.204;-63.110;2.487;-66.130;-60.070
5;5;-64.076;-64.500;3.326;-68.650;-60.590
6;5;-62.094;-61.440;1.285;-63.720;-60.870
7;5;-61.686;-60.820;3.917;-67.530;-56.900
8;5;-62.624;-63.190;0.942;-63.430;-61.430
9;5;-62.790;-60.280;5.467;-72.140;-59.100
10;5;-60.822;-60.440;1.987;-63.000;-57.920
11;5;-62.156;-61.470;3.427;-67.600;-58.120
12;5;-64.656;-64.070;3.979;-70.890;-60.810
13;5;-61.544;-59.460;5.359;-71.030;-58.220
14;5;-60.330;-60.290;2.661;-64.510;-57.210
15;5;-66.372;-66.090;2.110;-69.860;-64.220
16;5;-67.698;-66.880;1.794;-69.700;-65.740
17;5;-66.280;-64.240;4.591;-73.260;-61.600
18;5;-63.822;-63.840;2.325;-67.400;-61.630
19;5;-64.486;-64.590;3.400;-69.100;-60.430
20;5;-65.612;-65.150;1.216;-67.410;-64.520
21;5;-63.564;-63.740;2.195;-66.170;-60.360
22;5;-67.244;-66.230;4.909;-75.530;-63.490
23;5;-63.284;-62.610;2.976;-67.430;-59.980
24;5;-61.596;-60.770;2.240;-64.020;-59.220
25;5;-63.028;-62.490;2.685;-66.410;-59.850
26;5;-69.534;-71.750;4.792;-72.890;-61.490
27;5;-64.186;-63.940;4.348;-69.270;-59.920
