pattern;count;mean;median;std;min;max
1;5;-64.416;-62.940;3.869;-71.170;-61.550
2;5;-61.672;-62.220;1.157;-62.770;-59.970
3;5;-67.286;-66.900;3.546;-70.640;-61.810
4;5;-64.566;-65.740;2.245;-66.970;-61.940
5;5;-64.918;-65.920;2.397;-66.940;-60.940
6;5;-66.822;-66.650;1.263;-68.740;-65.330
7;5;-64.342;-63.340;2.719;-67.560;-61.580
8;5;-62.390;-61.900;1.425;-64.740;-61.150
9;5;-64.250;-63.180;2.253;-67.720;-62.350
10;5;-64.062;-62.660;3.315;-69.530;-61.060
11;5;-61.720;-61.160;0.925;-63.090;-60.930
12;5;-62.492;-61.870;2.543;-66.790;-60.090
13;5;-64.606;-64.760;2.595;-67.940;-61.450
14;5;-65.296;-64.590;3.274;-70.360;-61.440
15;5;-64.002;-64.300;1.513;-65.580;-61.480
16;5;-63.436;-63.330;2.091;-65.400;-60.110
17;5;-55.574;-55.830;0.867;-56.590;-54.590
18;5;-56.002;-56.150;0.478;-56.620;-55.470
19;5;-67.388;-70.820;5.126;-71.640;-61.640
20;5;-64.984;-64.880;2.279;-67.350;-62.590
21;5;-66.284;-66.260;2.170;-68.220;-62.900
22;5;-67.866;-68.940;2.362;-69.690;-64.110
23;5;-69.374;-68.710;3.170;-73.070;-65.410
24;5;-62.700;-63.110;1.841;-64.390;-59.650
25;5;-61.504;-61.280;0.471;-62.270;-61.140
26;5;-58.544;-58.210;1.304;-59.870;-56.790
27;5;-62.532;-63.170;1.475;-63.390;-59.920
