pattern;count;mean;median;std;min;max
1;5;-78.612;-78.410;1.397;-80.070;-76.540
2;5;-78.680;-78.790;0.690;-79.320;-77.560
3;5;-80.248;-80.420;1.017;-81.480;-78.750
4;5;-79.016;-79.700;2.010;-80.820;-76.310
5;5;-79.958;-79.650;1.428;-81.900;-78.230
6;5;-80.224;-79.670;2.305;-84.110;-77.920
7;5;-78.842;-78.290;1.586;-81.160;-77.010
8;5;-79.762;-79.950;0.803;-80.470;-78.380
9;5;-79.154;-79.100;1.705;-81.290;-76.710
10;5;-81.202;-82.080;2.698;-84.470;-77.440
11;5;-80.856;-81.150;1.730;-83.190;-78.500
12;5;-79.956;-79.690;2.312;-83.550;-77.670
13;5;-79.624;-79.670;0.419;-80.110;-79.150
14;5;-79.554;-79.160;1.777;-82.550;-77.850
15;5;-79.654;-79.410;1.806;-82.650;-77.830
16;5;-80.158;-80.830;3.049;-84.180;-76.030
17;5;-78.490;-78.420;0.667;-79.350;-77.760
18;5;-78.516;-78.320;2.146;-81.740;-76.160
19;5;-78.528;-79.130;1.916;-79.880;-75.250
20;5;-79.092;-80.120;1.842;-80.740;-76.300
21;5;-78.172;-78.260;1.647;-80.150;-75.620
22;5;-79.090;-79.670;2.124;-81.040;-75.920
23;5;-82.368;-82.660;1.402;-84.070;-80.720
24;5;-79.420;-79.020;3.775;-83.240;-74.460
25;5;-77.036;-75.980;2.440;-81.060;-75.220
26;5;-76.202;-76.000;0.831;-77.340;-75.350
27;5;-78.010;-78.360;2.432;-81.430;-75.380
