pattern;count;mean;median;std;min;max
1;5;-78.286;-78.290;0.762;-79.030;-77.200
2;5;-79.600;-78.110;2.398;-82.240;-77.630
3;5;-78.360;-78.700;1.305;-79.790;-76.610
4;5;-77.984;-78.540;1.205;-78.860;-75.920
5;5;-74.342;-74.220;0.689;-75.440;-73.530
6;5;-79.146;-77.960;3.128;-82.670;-75.770
7;5;-82.096;-81.900;1.479;-84.460;-80.410
8;5;-80.884;-80.660;2.293;-84.180;-77.960
9;5;-79.480;-79.550;1.064;-81.160;-78.540
10;5;-77.718;-77.090;1.522;-80.080;-76.100
11;5;-78.688;-78.270;1.279;-80.630;-77.490
12;5;-79.864;-79.180;2.378;-84.010;-78.200
13;5;-77.934;-77.830;0.746;-78.910;-77.080
14;5;-79.302;-79.210;1.875;-82.270;-77.090
15;5;-82.408;-81.320;1.974;-85.050;-80.590
16;5;-78.776;-78.010;2.075;-82.470;-77.600
17;5;-80.950;-80.260;1.901;-83.990;-79.360
18;5;-78.186;-75.830;5.174;-86.880;-73.960
19;5;-82.052;-82.170;0.905;-83.190;-80.700
20;5;-80.654;-80.860;0.848;-81.680;-79.400
21;5;-79.964;-79.610;1.550;-82.610;-78.840
22;5;-79.042;-79.040;0.872;-80.130;-77.830
23;5;-78.946;-78.780;0.973;-80.380;-77.800
24;5;-76.332;-76.250;0.862;-77.490;-75.250
25;5;-78.996;-78.720;1.174;-80.500;-77.860
26;5;-81.644;-81.470;1.418;-83.870;-79.910
27;5;-76.016;-75.700;1.078;-77.180;-74.910
