pattern;count;mean;median;std;min;max
1;5;-65.924;-66.030;2.102;-68.310;-63.190
2;5;-67.028;-67.480;3.620;-71.330;-61.410
3;5;-68.724;-68.850;3.513;-72.430;-65.040
4;5;-66.894;-66.230;2.962;-70.620;-64.040
5;5;-68.092;-68.890;2.851;-70.680;-63.460
6;5;-68.652;-70.020;4.227;-73.710;-62.780
7;5;-66.320;-65.660;2.141;-70.020;-64.450
8;5;-70.816;-70.780;0.504;-71.620;-70.240
9;5;-68.176;-66.620;2.811;-72.550;-65.750
10;5;-66.342;-66.300;0.831;-67.520;-65.380
11;5;-67.440;-67.220;1.604;-69.160;-65.420
12;5;-68.826;-68.730;1.180;-70.110;-67.580
13;5;-66.494;-65.940;2.898;-69.850;-62.310
14;5;-67.226;-67.370;1.992;-70.030;-64.760
15;5;-68.982;-70.350;3.465;-72.550;-64.000
16;5;-67.078;-67.130;2.357;-70.230;-63.890
17;5;-62.740;-63.470;3.453;-66.510;-57.530
18;5;-60.894;-60.310;2.353;-64.930;-58.740
19;5;-66.576;-67.100;1.831;-68.680;-63.710
20;5;-70.982;-69.720;2.126;-73.840;-69.140
21;5;-67.910;-68.550;2.230;-69.840;-64.070
22;5;-69.666;-69.670;1.379;-71.860;-68.340
23;5;-68.016;-67.600;1.154;-69.260;-66.710
24;5;-64.178;-64.210;2.614;-66.980;-60.260
25;5;-65.246;-66.290;2.020;-67.280;-63.060
26;5;-67.382;-67.860;1.082;-68.600;-66.010
27;5;-64.470;-64.120;1.698;-67.360;-62.890
