pattern;count;mean;median;std;min;max
1;5;-70.304;-70.100;0.556;-71.240;-69.780
2;5;-71.918;-71.560;2.645;-75.100;-68.640
3;5;-70.382;-70.290;0.686;-71.230;-69.690
4;5;-70.526;-70.800;0.730;-71.180;-69.500
5;5;-69.612;-67.890;4.962;-76.870;-64.030
6;5;-65.804;-65.620;0.584;-66.680;-65.270
7;5;-77.612;-76.570;5.062;-83.210;-71.260
8;5;-70.012;-68.400;2.862;-74.530;-67.880
9;5;-71.156;-70.410;2.518;-75.330;-68.990
10;5;-70.258;-69.690;2.217;-73.590;-67.630
11;5;-71.680;-71.620;1.069;-73.110;-70.310
12;5;-72.228;-72.310;1.638;-74.160;-70.470
13;5;-69.320;-68.660;1.494;-71.630;-68.010
14;5;-70.378;-70.110;1.807;-73.000;-68.700
15;5;-76.990;-76.140;2.109;-80.420;-74.920
16;5;-74.028;-74.360;1.943;-76.440;-71.980
17;5;-76.572;-76.240;1.974;-79.180;-74.460
18;5;-71.316;-70.360;2.363;-74.560;-69.200
19;5;-74.780;-74.470;1.130;-76.660;-73.610
20;5;-71.780;-69.560;3.569;-76.890;-68.960
21;5;-73.976;-74.000;3.068;-78.820;-70.520
22;5;-72.242;-72.280;0.322;-72.640;-71.740
23;5;-72.294;-72.620;0.961;-73.150;-70.960
24;5;-73.336;-73.630;2.098;-76.220;-71.060
25;5;-69.040;-68.860;0.483;-69.840;-68.590
26;5;-74.102;-72.780;2.984;-79.340;-72.190
27;5;-74.286;-74.750;2.667;-77.720;-70.480
