pattern;count;mean;median;std;min;max
1;5;-62.708;-62.440;1.413;-65.150;-61.720
2;5;-57.970;-58.490;1.070;-59.130;-56.610
3;5;-63.884;-63.890;0.857;-65.040;-62.940
4;5;-64.106;-64.040;0.794;-64.930;-63.200
5;5;-64.612;-64.060;1.504;-66.260;-62.860
6;5;-67.882;-66.770;3.691;-74.370;-65.560
7;5;-68.004;-67.610;2.020;-71.290;-65.780
8;5;-64.030;-64.250;1.197;-65.610;-62.350
9;5;-64.350;-64.400;2.009;-67.520;-62.460
10;5;-63.366;-63.330;1.633;-65.770;-61.160
11;5;-66.032;-65.860;1.629;-67.850;-64.330
12;5;-68.886;-68.650;2.651;-72.050;-66.220
13;5;-63.988;-65.310;2.374;-66.040;-60.410
14;5;-64.426;-65.000;1.666;-66.080;-61.850
15;5;-70.754;-71.330;2.107;-73.250;-67.510
16;5;-72.818;-73.400;4.254;-77.300;-68.390
17;5;-68.556;-68.830;2.026;-71.300;-65.670
18;5;-72.466;-73.130;4.670;-77.360;-65.270
19;5;-67.028;-66.250;2.505;-71.380;-65.050
20;5;-63.730;-63.700;0.203;-64.050;-63.500
21;5;-67.840;-66.680;3.440;-73.420;-64.260
22;5;-74.788;-76.220;4.078;-78.780;-70.370
23;5;-67.566;-67.370;0.726;-68.390;-66.840
24;5;-66.376;-66.030;3.053;-70.080;-62.580
25;5;-66.134;-67.850;2.736;-68.430;-62.390
26;5;-65.592;-64.790;2.477;-69.090;-63.230
27;5;-65.328;-65.630;2.084;-67.860;-62.130
