pattern;count;mean;median;std;min;max
1;5;-77.066;-77.310;3.076;-81.240;-72.590
2;5;-74.432;-75.200;1.876;-76.560;-71.970
3;5;-73.672;-73.760;1.544;-75.880;-72.030
4;5;-75.230;-74.790;3.459;-80.980;-72.440
5;5;-75.158;-75.180;4.474;-80.400;-70.250
6;5;-75.642;-76.040;2.299;-78.120;-73.170
7;5;-73.114;-73.830;1.888;-74.950;-71.030
8;5;-76.024;-75.300;3.022;-80.870;-72.770
9;5;-74.950;-74.430;2.322;-78.210;-72.830
10;5;-77.394;-78.310;1.849;-78.780;-74.230
11;5;-75.212;-75.550;1.894;-77.890;-73.190
12;5;-76.032;-76.500;2.379;-78.850;-72.960
13;5;-77.846;-78.520;3.181;-80.810;-73.480
14;5;-74.872;-75.790;2.489;-76.960;-70.870
15;5;-75.246;-74.450;2.217;-78.780;-72.950
16;5;-76.746;-77.030;4.186;-82.450;-70.840
17;5;-73.306;-74.380;2.531;-76.180;-70.570
18;5;-74.446;-73.920;1.362;-76.460;-73.310
19;5;-77.146;-77.150;3.181;-81.770;-73.430
20;5;-76.524;-77.060;3.395;-79.910;-72.510
21;5;-75.166;-75.590;2.780;-79.110;-71.730
22;5;-76.442;-78.190;4.539;-81.610;-70.960
23;5;-75.634;-76.750;2.962;-78.790;-72.140
24;5;-76.316;-76.800;4.179;-81.330;-71.690
25;5;-75.310;-75.450;1.417;-77.260;-73.680
26;5;-75.184;-75.120;2.505;-78.990;-72.150
27;5;-74.034;-74.030;2.676;-76.790;-69.780
