pattern;avg_power
1;-65.924
2;-67.02799999999999
3;-68.724
4;-66.894
5;-68.09200000000001
6;-68.652
7;-66.32000000000001
8;-70.816
9;-68.176
10;-66.342
11;-67.44
12;-68.826
13;-66.494
14;-67.226
15;-68.982
16;-67.078
17;-62.739999999999995
18;-60.894000000000005
19;-66.576
20;-70.982
21;-67.91
22;-69.666
23;-68.01599999999999
24;-64.178
25;-65.24600000000001
26;-67.38199999999999
27;-64.47
