pattern;avg_power
1;-68.345
2;-68.115
3;-68.89500000000001
4;-69.12
5;-68.6375
6;-70.015
7;-69.59
8;-68.3475
9;-66.74000000000001
10;-66.845
11;-66.895
12;-68.85249999999999
13;-67.3125
14;-69.5625
15;-69.0175
16;-67.01
17;-62.3125
18;-63.0225
19;-70.2375
20;-72.8375
21;-70.935
22;-68.0975
23;-67.9775
24;-65.6825
25;-63.824999999999996
26;-65.32
27;-64.045
