pattern;avg_power
1;-69.286
2;-66.848
3;-69.44
4;-70.404
5;-73.878
6;-70.352
7;-79.688
8;-68.08
9;-67.208
10;-67.338
11;-69.8
12;-67.27799999999999
13;-65.87
14;-66.86
15;-71.91
16;-72.662
17;-71.558
18;-70.154
19;-77.584
20;-76.626
21;-70.424
22;-73.566
23;-70.91
24;-68.958
25;-68.122
26;-71.22999999999999
27;-69.87
