pattern;avg_power
1;-70.304
2;-71.918
3;-70.382
4;-70.526
5;-69.612
6;-65.804
7;-77.612
8;-70.012
9;-71.15599999999999
10;-70.258
11;-71.67999999999999
12;-72.228
13;-69.32000000000001
14;-70.378
15;-76.99
16;-74.02799999999999
17;-76.572
18;-71.316
19;-74.78
20;-71.78
21;-73.976
22;-72.242
23;-72.29400000000001
24;-73.336
25;-69.03999999999999
26;-74.102
27;-74.286
